0,1,2,3,4,5,6,7
0,35:06,NO,YES,38:09,44:59,YES,YES
37:22,36:00,YES,YES,31:33,38:22,YES,YES
30:00,29:25,YES,YES,35:06,27:19,YES,YES
0,26:35,NO,YES,35:42,35:51,YES,YES
35:57,33:15,YES,YES,34:13,28:06,YES,YES
38:41,Did Not Play,YES,YES,38:10,36:22,YES,YES
16:09,25:09,YES,YES,Did Not Play,24:03,YES,YES
37:13,34:15,YES,YES,23:15,34:59,YES,YES
31:45,30:45,YES,YES,33:31,29:11,YES,YES
0,35:24,NO,YES,31:38,35:18,YES,YES
30:07,27:42,YES,YES,37:55,36:24,YES,YES
17:25,26:33,YES,YES,33:24,32:18,YES,YES
23:54,33:47,YES,YES,37:49,26:03,YES,YES
37:15,30:14,YES,YES,0,25:16,NO,YES
28:10,33:20,YES,YES,36:26,32:52,YES,YES
21:26,24:34,YES,YES,29:48,28:25,YES,YES
35:41,39:42,YES,YES,35:10,36:13,YES,YES
27:43,6:15,YES,YES,0,27:56,NO,YES
16:35,38:34,YES,YES,31:13,25:12,YES,YES
33:22,26:41,YES,YES,18:28,28:20,YES,YES
37:41,29:04,YES,YES,0,31:25,NO,YES
34:33,31:27,YES,YES,30:02,29:10,YES,YES
Did Not Play,41:24,YES,YES,40:32,40:37,YES,YES
34:02,26:19,YES,YES,17:14,34:07,YES,YES
32:24,33:58,YES,YES,32:20,30:34,YES,YES
0,38:28,NO,YES,36:38,37:23,YES,YES
0,35:14,NO,YES,0,26:44,NO,YES
31:11,29:42,YES,YES,35:59,33:04,YES,YES
33:32,30:21,YES,YES,19:51,29:52,YES,YES
28:05,34:25,YES,YES,30:15,23:12,YES,YES
32:50,34:33,YES,YES,33:06,34:42,YES,YES
0,38:41,NO,YES,36:05,33:35,YES,YES
38:26,30:25,YES,YES,36:24,33:06,YES,YES
15:17,20:00,YES,YES,25:03,25:35,YES,YES
32:16,32:19,YES,YES,Did Not Play,38:27,YES,YES
30:08,23:57,YES,YES,19:04,25:24,YES,YES
34:20,27:29,YES,YES,19:42,32:21,YES,YES
38:24,25:41,YES,YES,37:42,34:23,YES,YES
0,31:36,NO,YES,34:48,Did Not Play,YES,YES
28:40,27:31,YES,YES,32:29,35:01,YES,YES
35:36,28:25,YES,YES,18:20,32:44,YES,YES
38:43,34:39,YES,YES,0,26:04,NO,YES
25:00,28:52,YES,YES,35:58,38:11,YES,YES
32:43,37:49,YES,YES,34:29,28:54,YES,YES
33:55,26:48,YES,YES,36:52,35:29,YES,YES
33:08,33:25,YES,YES,29:12,28:41,YES,YES
31:00,33:53,YES,YES,0,31:04,NO,YES
38:48,24:05,YES,YES,33:26,33:44,YES,YES
35:32,37:06,YES,YES,Did Not Play,29:02,YES,YES
28:27,30:58,YES,YES,30:23,36:18,YES,YES
26:52,31:58,YES,YES,29:44,26:16,YES,YES
11:04,35:33,YES,YES,30:40,32:44,YES,YES
32:30,32:58,YES,YES,32:56,33:31,YES,YES
22:46,25:16,YES,YES,30:34,28:19,YES,YES
31:54,27:10,YES,YES,31:12,35:01,YES,YES
19:28,36:40,YES,YES,33:51,28:09,YES,YES
22:39,Did Not Play,YES,YES,20:02,32:43,YES,YES
34:38,33:53,YES,YES,38:35,38:08,YES,YES
36:21,32:28,YES,YES,30:58,21:40,YES,YES
0,20:32,NO,YES,30:16,37:47,YES,YES
38:12,24:47,YES,YES,31:26,0,YES,NO
37:30,34:41,YES,YES,40:30,34:18,YES,YES
34:53,30:38,YES,YES,35:17,36:16,YES,YES
0,13:39,NO,YES,32:38,34:59,YES,YES
Did Not Play,35:55,YES,YES,21:09,23:45,YES,YES
35:11,35:44,YES,YES,0,33:04,NO,YES
27:08,26:17,YES,YES,0,35:34,NO,YES
35:06,35:38,YES,YES,34:07,31:05,YES,YES
36:39,36:24,YES,YES,34:29,31:02,YES,YES
34:56,31:28,YES,YES,37:17,33:02,YES,YES
30:16,20:23,YES,YES,25:05,21:32,YES,YES
16:16,33:38,YES,YES,33:46,35:37,YES,YES
0,24:40,NO,YES,32:14,32:06,YES,YES
42:40,42:32,YES,YES,38:08,37:25,YES,YES
38:00,35:11,YES,YES,20:15,36:49,YES,YES
29:18,26:04,YES,YES,0,34:26,NO,YES
0,13:10,NO,YES,29:17,0,YES,NO
33:11,18:02,YES,YES,0,Did Not Play,NO,YES
31:27,32:16,YES,YES,33:47,27:05,YES,YES
Did Not Play,31:28,YES,YES,24:10,28:43,YES,YES
32:23,38:02,YES,YES,36:26,33:42,YES,YES
Did Not Play,23:38,YES,YES,27:53,19:47,YES,YES
19:39,30:40,YES,YES,0,Did Not Dress,NO,YES
Did Not Play,36:26,YES,YES,39:04,Did Not Dress,YES,YES
31:52,28:20,YES,YES,0,31:08,NO,YES
26:26,26:14,YES,YES,27:27,25:55,YES,YES
29:40,34:47,YES,YES,24:34,26:56,YES,YES
36:00,37:18,YES,YES,33:59,30:16,YES,YES
33:33,31:08,YES,YES,35:06,30:56,YES,YES
34:03,33:58,YES,YES,33:45,29:32,YES,YES
0,0,NO,NO,32:22,26:30,YES,YES
0,37:02,NO,YES,34:33,30:03,YES,YES
37:15,Did Not Play,YES,YES,23:49,28:23,YES,YES
