Unnamed: 0,ID,GDate,Home,Away,Start,Diff,Home_changes,Away_changes
1,1,2019-10-22,TOR,NOP,2019-10-22,0,0,0
2,2,2019-10-22,LAC,LAL,2019-10-22,0,0,0
3,3,2019-10-23,CHO,CHI,2019-10-22,1,0,0
4,4,2019-10-23,IND,DET,2019-10-22,1,0,0
5,5,2019-10-23,ORL,CLE,2019-10-22,1,0,0
6,6,2019-10-23,BRK,MIN,2019-10-22,1,0,0
7,7,2019-10-23,MIA,MEM,2019-10-22,1,0,0
8,8,2019-10-23,PHI,BOS,2019-10-22,1,0,0
9,9,2019-10-23,DAL,WAS,2019-10-22,1,0,0
10,10,2019-10-23,SAS,NYK,2019-10-22,1,0,0
11,11,2019-10-23,UTA,OKC,2019-10-22,1,0,0
12,12,2019-10-23,PHO,SAC,2019-10-22,1,0,0
13,13,2019-10-23,POR,DEN,2019-10-22,1,0,0
14,14,2019-10-24,DET,ATL,2019-10-22,2,1,0
15,15,2019-10-24,HOU,MIL,2019-10-22,2,0,0
16,16,2019-10-24,GSW,LAC,2019-10-22,2,0,1
17,17,2019-10-25,BOS,TOR,2019-10-22,3,1,0
18,18,2019-10-25,CHO,MIN,2019-10-22,3,0,1
19,19,2019-10-25,BRK,NYK,2019-10-22,3,0,1
20,20,2019-10-25,MEM,CHI,2019-10-22,3,1,1
21,21,2019-10-25,NOP,DAL,2019-10-22,3,0,1
22,22,2019-10-25,OKC,WAS,2019-10-22,3,1,1
23,23,2019-10-25,DEN,PHO,2019-10-22,3,1,1
24,24,2019-10-25,SAC,POR,2019-10-22,3,1,1
25,25,2019-10-25,LAL,UTA,2019-10-22,3,1,1
26,26,2019-10-26,MIL,MIA,2019-10-22,4,1,1
27,27,2019-10-26,DET,PHI,2019-10-22,4,1,1
28,28,2019-10-26,ATL,ORL,2019-10-22,4,1,1
29,29,2019-10-26,NYK,BOS,2019-10-22,4,2,2
30,30,2019-10-26,CHI,TOR,2019-10-22,4,2,1
31,31,2019-10-26,CLE,IND,2019-10-22,4,1,1
32,32,2019-10-26,HOU,NOP,2019-10-22,4,0,1
33,33,2019-10-26,SAS,WAS,2019-10-22,4,0,2
34,34,2019-10-26,UTA,SAC,2019-10-22,4,2,2
35,35,2019-10-26,PHO,LAC,2019-10-22,4,2,2
36,36,2019-10-27,OKC,GSW,2019-10-22,5,1,1
37,37,2019-10-27,MEM,BRK,2019-10-22,5,1,1
38,38,2019-10-27,DAL,POR,2019-10-22,5,2,2
39,39,2019-10-27,MIN,MIA,2019-10-22,5,2,2
40,40,2019-10-27,LAL,CHO,2019-10-22,5,1,1
41,41,2019-10-28,NYK,CHI,2019-10-22,6,2,3
42,42,2019-10-28,DET,IND,2019-10-22,6,1,2
43,43,2019-10-28,TOR,ORL,2019-10-22,6,2,2
44,44,2019-10-28,ATL,PHI,2019-10-22,6,1,2
45,45,2019-10-28,HOU,OKC,2019-10-22,6,0,2
46,46,2019-10-28,MIL,CLE,2019-10-22,6,1,2
47,47,2019-10-28,NOP,GSW,2019-10-22,6,2,2
48,48,2019-10-28,SAS,POR,2019-10-22,6,0,3
49,49,2019-10-28,PHO,UTA,2019-10-22,6,2,3
50,50,2019-10-28,SAC,DEN,2019-10-22,6,3,2
51,51,2019-10-28,LAC,CHO,2019-10-22,6,3,2
52,52,2019-10-29,MIA,ATL,2019-10-22,7,3,2
53,53,2019-10-29,DEN,DAL,2019-10-22,7,3,3
54,54,2019-10-29,LAL,MEM,2019-10-22,7,1,2
55,55,2019-10-30,CLE,CHI,2019-10-22,8,3,4
56,56,2019-10-30,ORL,NYK,2019-10-22,8,3,3
57,57,2019-10-30,PHI,MIN,2019-10-22,8,3,3
58,58,2019-10-30,BOS,MIL,2019-10-22,8,3,2
59,59,2019-10-30,BRK,IND,2019-10-22,8,2,3
60,60,2019-10-30,TOR,DET,2019-10-22,8,2,2
61,61,2019-10-30,OKC,POR,2019-10-22,8,3,4
62,62,2019-10-30,WAS,HOU,2019-10-22,8,3,1
63,63,2019-10-30,SAC,CHO,2019-10-22,8,3,3
64,64,2019-10-30,UTA,LAC,2019-10-22,8,4,3
65,65,2019-10-30,GSW,PHO,2019-10-22,8,3,3
66,66,2019-10-31,ATL,MIA,2019-10-22,9,3,3
67,67,2019-10-31,NOP,DEN,2019-10-22,9,2,3
68,68,2019-10-31,LAC,SAS,2019-10-22,9,4,1
69,69,2019-11-01,BRK,HOU,2019-10-22,10,2,2
70,70,2019-11-01,IND,CLE,2019-10-22,10,3,3
71,71,2019-11-01,ORL,MIL,2019-10-22,10,2,2
72,72,2019-11-01,BOS,NYK,2019-10-22,10,2,3
73,73,2019-11-01,CHI,DET,2019-10-22,10,4,2
74,74,2019-11-01,DAL,LAL,2019-10-22,10,3,1
75,75,2019-11-01,SAC,UTA,2019-10-22,10,2,4
76,76,2019-11-01,GSW,SAS,2019-10-22,10,2,2
77,77,2019-11-02,OKC,NOP,2019-10-22,11,2,2
78,78,2019-11-02,DET,BRK,2019-10-22,11,3,2
79,79,2019-11-02,ORL,DEN,2019-10-22,11,2,3
80,80,2019-11-02,MEM,PHO,2019-10-22,11,2,2
81,81,2019-11-02,MIL,TOR,2019-10-22,11,3,2
82,82,2019-11-02,WAS,MIN,2019-10-22,11,1,2
83,83,2019-11-02,GSW,CHO,2019-10-22,11,2,3
84,84,2019-11-02,POR,PHI,2019-10-22,11,3,3
85,85,2019-11-03,IND,CHI,2019-10-22,12,2,3
86,86,2019-11-03,MIA,HOU,2019-10-22,12,3,3
87,87,2019-11-03,NYK,SAC,2019-10-22,12,3,1
88,88,2019-11-03,SAS,LAL,2019-10-22,12,3,2
89,89,2019-11-03,CLE,DAL,2019-10-22,12,3,3
90,90,2019-11-03,LAC,UTA,2019-10-22,12,2,3
91,91,2019-11-04,WAS,DET,2019-10-22,13,0,4
92,92,2019-11-04,BRK,NOP,2019-10-22,13,2,2
93,93,2019-11-04,MEM,HOU,2019-10-22,13,1,4
94,94,2019-11-04,MIN,MIL,2019-10-22,13,2,4
95,95,2019-11-04,PHO,PHI,2019-10-22,13,3,3
96,96,2019-11-04,GSW,POR,2019-10-22,13,1,3
97,97,2019-11-05,CHO,IND,2019-10-22,14,2,2
98,98,2019-11-05,CLE,BOS,2019-10-22,14,2,1
99,99,2019-11-05,ATL,SAS,2019-10-22,14,1,3
100,100,2019-11-05,CHI,LAL,2019-10-22,14,3,3
101,101,2019-11-05,OKC,ORL,2019-10-22,14,0,1
102,102,2019-11-05,DEN,MIA,2019-10-22,14,3,3
103,103,2019-11-06,DET,NYK,2019-10-22,15,4,3
104,104,2019-11-06,IND,WAS,2019-10-22,15,3,1
105,105,2019-11-06,ATL,CHI,2019-10-22,15,0,4
106,106,2019-11-06,HOU,GSW,2019-10-22,15,4,1
107,107,2019-11-06,TOR,SAC,2019-10-22,15,2,2
