,code,acrv,acrh
1,201910220TOR,NOP,TOR
2,201910220LAC,LAL,LAC
3,201910230CHO,CHI,CHO
4,201910230IND,DET,IND
5,201910230ORL,CLE,ORL
6,201910230BRK,MIN,BRK
7,201910230MIA,MEM,MIA
8,201910230PHI,BOS,PHI
9,201910230DAL,WAS,DAL
10,201910230SAS,NYK,SAS
11,201910230UTA,OKC,UTA
12,201910230PHO,SAC,PHO
13,201910230POR,DEN,POR
14,201910240DET,ATL,DET
15,201910240HOU,MIL,HOU
16,201910240GSW,LAC,GSW
17,201910250BOS,TOR,BOS
18,201910250CHO,MIN,CHO
19,201910250BRK,NYK,BRK
20,201910250MEM,CHI,MEM
21,201910250NOP,DAL,NOP
22,201910250OKC,WAS,OKC
23,201910250DEN,PHO,DEN
24,201910250SAC,POR,SAC
25,201910250LAL,UTA,LAL
26,201910260MIL,MIA,MIL
27,201910260DET,PHI,DET
28,201910260ATL,ORL,ATL
29,201910260NYK,BOS,NYK
30,201910260CHI,TOR,CHI
31,201910260CLE,IND,CLE
32,201910260HOU,NOP,HOU
33,201910260SAS,WAS,SAS
34,201910260UTA,SAC,UTA
35,201910260PHO,LAC,PHO
36,201910270OKC,GSW,OKC
37,201910270MEM,BRK,MEM
38,201910270DAL,POR,DAL
39,201910270MIN,MIA,MIN
40,201910270LAL,CHO,LAL
41,201910280NYK,CHI,NYK
42,201910280DET,IND,DET
43,201910280TOR,ORL,TOR
44,201910280ATL,PHI,ATL
45,201910280HOU,OKC,HOU
46,201910280MIL,CLE,MIL
47,201910280NOP,GSW,NOP
48,201910280SAS,POR,SAS
49,201910280PHO,UTA,PHO
50,201910280SAC,DEN,SAC
51,201910280LAC,CHO,LAC
52,201910290MIA,ATL,MIA
53,201910290DEN,DAL,DEN
54,201910290LAL,MEM,LAL
55,201910300CLE,CHI,CLE
56,201910300ORL,NYK,ORL
57,201910300PHI,MIN,PHI
58,201910300BOS,MIL,BOS
59,201910300BRK,IND,BRK
60,201910300TOR,DET,TOR
61,201910300OKC,POR,OKC
62,201910300WAS,HOU,WAS
63,201910300SAC,CHO,SAC
64,201910300UTA,LAC,UTA
65,201910300GSW,PHO,GSW
66,201910310ATL,MIA,ATL
67,201910310NOP,DEN,NOP
68,201910310LAC,SAS,LAC
69,201911010BRK,HOU,BRK
70,201911010IND,CLE,IND
71,201911010ORL,MIL,ORL
72,201911010BOS,NYK,BOS
73,201911010CHI,DET,CHI
74,201911010DAL,LAL,DAL
75,201911010SAC,UTA,SAC
76,201911010GSW,SAS,GSW
77,201911020OKC,NOP,OKC
78,201911020DET,BRK,DET
79,201911020ORL,DEN,ORL
80,201911020MEM,PHO,MEM
81,201911020MIL,TOR,MIL
82,201911020WAS,MIN,WAS
83,201911020GSW,CHO,GSW
84,201911020POR,PHI,POR
85,201911030IND,CHI,IND
86,201911030MIA,HOU,MIA
87,201911030NYK,SAC,NYK
88,201911030SAS,LAL,SAS
89,201911030CLE,DAL,CLE
90,201911030LAC,UTA,LAC
91,201911040WAS,DET,WAS
92,201911040BRK,NOP,BRK
93,201911040MEM,HOU,MEM
94,201911040MIN,MIL,MIN
95,201911040PHO,PHI,PHO
96,201911040GSW,POR,GSW
97,201911050CHO,IND,CHO
98,201911050CLE,BOS,CLE
99,201911050ATL,SAS,ATL
100,201911050CHI,LAL,CHI
101,201911050OKC,ORL,OKC
102,201911050DEN,MIA,DEN
103,201911060DET,NYK,DET
104,201911060IND,WAS,IND
105,201911060ATL,CHI,ATL
106,201911060HOU,GSW,HOU
107,201911060TOR,SAC,TOR
108,201911060MEM,MIN,MEM
109,201911060DAL,ORL,DAL
110,201911060UTA,PHI,UTA
111,201911060LAC,MIL,LAC
112,201911070CHO,BOS,CHO
113,201911070SAS,OKC,SAS
114,201911070PHO,MIA,PHO
115,201911070LAC,POR,LAC
116,201911080IND,DET,IND
117,201911080ORL,MEM,ORL
118,201911080WAS,CLE,WAS
119,201911080ATL,SAC,ATL
120,201911080MIN,GSW,MIN
121,201911080NOP,TOR,NOP
122,201911080DAL,NYK,DAL
123,201911080DEN,PHI,DEN
124,201911080UTA,MIL,UTA
125,201911080POR,BRK,POR
126,201911080LAL,MIA,LAL
127,201911090SAS,BOS,SAS
128,201911090CHO,NOP,CHO
129,201911090CHI,HOU,CHI
130,201911090MEM,DAL,MEM
131,201911090OKC,GSW,OKC
132,201911100MIN,DEN,MIN
133,201911100ORL,IND,ORL
134,201911100PHI,CHO,PHI
135,201911100OKC,MIL,OKC
136,201911100NYK,CLE,NYK
137,201911100PHO,BRK,PHO
138,201911100POR,ATL,POR
139,201911100LAL,TOR,LAL
140,201911110DET,MIN,DET
141,201911110BOS,DAL,BOS
142,201911110SAS,MEM,SAS
143,201911110NOP,HOU,NOP
144,201911110GSW,UTA,GSW
145,201911110LAC,TOR,LAC
146,201911120IND,OKC,IND
147,201911120PHI,CLE,PHI
148,201911120MIA,DET,MIA
149,201911120CHI,NYK,CHI
150,201911120DEN,ATL,DEN
151,201911120PHO,LAL,PHO
152,201911120UTA,BRK,UTA
153,201911120SAC,POR,SAC
154,201911130CHO,MEM,CHO
155,201911130ORL,PHI,ORL
156,201911130BOS,WAS,BOS
157,201911130HOU,LAC,HOU
158,201911130MIN,SAS,MIN
159,201911130LAL,GSW,LAL
160,201911130POR,TOR,POR
161,201911140CLE,MIA,CLE
162,201911140MIL,CHI,MIL
163,201911140NOP,LAC,NOP
164,201911140NYK,DAL,NYK
165,201911140PHO,ATL,PHO
166,201911140DEN,BRK,DEN
167,201911150CHO,DET,CHO
168,201911150ORL,SAS,ORL
169,201911150HOU,IND,HOU
170,201911150MEM,UTA,MEM
171,201911150MIN,WAS,MIN
172,201911150OKC,PHI,OKC
173,201911150GSW,BOS,GSW
174,201911150LAL,SAC,LAL
175,201911160CHI,BRK,CHI
176,201911160IND,MIL,IND
177,201911160NYK,CHO,NYK
178,201911160MIA,NOP,MIA
179,201911160MIN,HOU,MIN
180,201911160DAL,TOR,DAL
181,201911160SAS,POR,SAS
182,201911160LAC,ATL,LAC
183,201911170CLE,PHI,CLE
184,201911170SAC,BOS,SAC
185,201911170MEM,DEN,MEM
186,201911170ORL,WAS,ORL
187,201911170NOP,GSW,NOP
188,201911170LAL,ATL,LAL
189,201911180NYK,CLE,NYK
190,201911180BRK,IND,BRK
191,201911180TOR,CHO,TOR
192,201911180CHI,MIL,CHI
193,201911180HOU,POR,HOU
194,201911180DAL,SAS,DAL
195,201911180PHO,BOS,PHO
196,201911180UTA,MIN,UTA
197,201911180LAC,OKC,LAC
198,201911190MEM,GSW,MEM
199,201911190NOP,POR,NOP
200,201911190SAC,PHO,SAC
201,201911190LAL,OKC,LAL
202,201911200PHI,NYK,PHI
203,201911200WAS,SAS,WAS
204,201911200ATL,MIL,ATL
205,201911200BRK,CHO,BRK
206,201911200DAL,GSW,DAL
207,201911200MIA,CLE,MIA
208,201911200TOR,ORL,TOR
209,201911200CHI,DET,CHI
210,201911200MIN,UTA,MIN
211,201911200DEN,HOU,DEN
212,201911200LAC,BOS,LAC
213,201911210MIL,POR,MIL
214,201911210PHO,NOP,PHO
215,201911220DET,ATL,DET
216,201911220WAS,CHO,WAS
217,201911220BRK,SAC,BRK
218,201911220CHI,MIA,CHI
219,201911220OKC,LAL,OKC
220,201911220PHI,SAS,PHI
221,201911220DAL,CLE,DAL
222,201911220DEN,BOS,DEN
223,201911220UTA,GSW,UTA
224,201911220LAC,HOU,LAC
225,201911230MIN,PHO,MIN
226,201911230CHO,CHI,CHO
227,201911230IND,ORL,IND
228,201911230ATL,TOR,ATL
229,201911230NYK,SAS,NYK
230,201911230PHI,MIA,PHI
231,201911230CLE,POR,CLE
232,201911230MEM,LAL,MEM
233,201911230MIL,DET,MIL
234,201911230UTA,NOP,UTA
235,201911240HOU,DAL,HOU
236,201911240NYK,BRK,NYK
237,201911240WAS,SAC,WAS
238,201911240DEN,PHO,DEN
239,201911240LAC,NOP,LAC
240,201911250CLE,BRK,CLE
241,201911250DET,ORL,DET
242,201911250IND,MEM,IND
243,201911250ATL,MIN,ATL
244,201911250BOS,SAC,BOS
245,201911250MIA,CHO,MIA
246,201911250TOR,PHI,TOR
247,201911250CHI,POR,CHI
248,201911250MIL,UTA,MIL
249,201911250SAS,LAL,SAS
250,201911250GSW,OKC,GSW
251,201911260DAL,LAC,DAL
252,201911260DEN,WAS,DEN
253,201911270BOS,BRK,BOS
254,201911270CHO,DET,CHO
255,201911270CLE,ORL,CLE
256,201911270IND,UTA,IND
257,201911270PHI,SAC,PHI
258,201911270TOR,NYK,TOR
259,201911270HOU,MIA,HOU
260,201911270MEM,LAC,MEM
261,201911270MIL,ATL,MIL
262,201911270SAS,MIN,SAS
263,201911270PHO,WAS,PHO
264,201911270NOP,LAL,NOP
265,201911270POR,OKC,POR
266,201911270GSW,CHI,GSW
267,201911290BRK,BOS,BRK
268,201911290DET,CHO,DET
269,201911290ORL,TOR,ORL
270,201911290CLE,MIL,CLE
271,201911290NYK,PHI,NYK
272,201911290IND,ATL,IND
273,201911290MEM,UTA,MEM
274,201911290MIA,GSW,MIA
275,201911290OKC,NOP,OKC
276,201911290SAS,LAC,SAS
277,201911290PHO,DAL,PHO
278,201911290POR,CHI,POR
279,201911290LAL,WAS,LAL
280,201911300SAC,DEN,SAC
281,201911300PHI,IND,PHI
282,201911300HOU,ATL,HOU
283,201911300MIL,CHO,MIL
284,201912010BRK,MIA,BRK
285,201912010MIN,MEM,MIN
286,201912010NYK,BOS,NYK
287,201912010LAL,DAL,LAL
288,201912010DET,SAS,DET
289,201912010NOP,OKC,NOP
290,201912010ORL,GSW,ORL
291,201912010TOR,UTA,TOR
292,201912010LAC,WAS,LAC
293,201912020CHO,PHO,CHO
294,201912020PHI,UTA,PHI
295,201912020ATL,GSW,ATL
296,201912020MEM,IND,MEM
297,201912020MIL,NYK,MIL
298,201912020SAC,CHI,SAC
299,201912030CLE,DET,CLE
300,201912030WAS,ORL,WAS
301,201912030NOP,DAL,NOP
302,201912030TOR,MIA,TOR
303,201912030SAS,HOU,SAS
304,201912030DEN,LAL,DEN
305,201912030LAC,POR,LAC
306,201912040CHO,GSW,CHO
307,201912040DET,MIL,DET
308,201912040ORL,PHO,ORL
309,201912040ATL,BRK,ATL
310,201912040BOS,MIA,BOS
311,201912040CHI,MEM,CHI
312,201912040OKC,IND,OKC
313,201912040DAL,MIN,DAL
314,201912040UTA,LAL,UTA
315,201912040POR,SAC,POR
316,201912050WAS,PHI,WAS
317,201912050NYK,DEN,NYK
318,201912050TOR,HOU,TOR
319,201912050NOP,PHO,NOP
320,201912060CHO,BRK,CHO
321,201912060CLE,ORL,CLE
322,201912060DET,IND,DET
323,201912060BOS,DEN,BOS
324,201912060CHI,GSW,CHI
325,201912060MIA,WAS,MIA
326,201912060OKC,MIN,OKC
327,201912060MIL,LAC,MIL
