0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
265,43,102,.422,19,45,.422,17,20,.850,16,37,53,30,4,9,19,34,122,,265,.551,.515,.441,.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,,265,42,103,.408,14,40,.350,32,38,.842,16,41,57,23,7,3,16,24,130,,265,.543,.476,.388,.369,30.2,71.9,51.8,54.8,6.2,5.3,11.8,100.0,115.2,108.1,,NOP,30,31,25,31,5,122,TOR,27,29,32,29,13,130,102.2,.515,14.6,28.1,.167,108.1,102.2,.476,11.8,30.2,.311,115.2,,
240,37,85,.435,13,33,.394,15,21,.714,9,32,41,20,4,7,14,24,102,,240,.541,.512,.388,.247,20.9,74.4,47.7,54.1,4.2,14.0,12.9,100.0,107.0,117.5,,240,42,81,.519,11,31,.355,17,24,.708,11,34,45,24,8,5,14,25,112,,240,.612,.586,.383,.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,,LAL,25,29,31,17,102,LAC,22,40,23,27,112,95.3,.512,12.9,20.9,.176,107.0,95.3,.586,13.3,25.6,.210,117.5,,,,
240,49,105,.467,9,30,.300,18,22,.818,20,29,49,25,11,4,10,20,125,,240,.545,.510,.286,.210,38.5,76.3,54.4,51.0,10.8,9.1,8.0,100.0,123.0,124.0,,240,45,88,.511,23,44,.523,13,16,.813,9,32,41,28,3,4,19,18,126,,240,.663,.642,.500,.182,23.7,61.5,45.6,62.2,3.0,5.3,16.7,100.0,124.0,123.0,,CHI,28,27,40,30,125,CHO,37,26,33,30,126,101.6,.510,8.0,38.5,.171,123.0,101.6,.642,16.7,23.7,.148,124.0,,,,
240,41,78,.526,11,24,.458,26,33,.788,10,35,45,26,5,6,18,21,119,,240,.643,.596,.308,.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,100.0,118.8,109.8,,240,41,89,.461,8,21,.381,20,24,.833,10,26,36,26,8,6,15,28,110,,240,.552,.506,.236,.270,22.2,72.2,44.4,63.4,8.0,11.1,13.1,100.0,109.8,118.8,,DET,27,27,29,36,119,IND,24,31,31,24,110,100.2,.596,16.3,27.8,.333,118.8,100.2,.506,13.1,22.2,.225,109.8,,,,
240,33,88,.375,9,34,.265,10,15,.667,10,44,54,20,8,2,16,15,85,,240,.449,.426,.386,.170,20.4,86.3,54.0,60.6,8.1,3.6,14.5,100.0,86.1,95.2,,240,37,86,.430,9,30,.300,11,19,.579,7,39,46,24,12,4,13,18,94,,240,.498,.483,.349,.221,13.7,79.6,46.0,64.9,12.2,7.4,12.1,100.0,95.2,86.1,,CLE,24,17,24,20,85,ORL,28,27,16,23,94,98.7,.426,14.5,20.4,.114,86.1,98.7,.483,12.1,13.7,.128,95.2,,,,
265,46,108,.426,13,43,.302,22,28,.786,12,40,52,23,9,4,13,22,127,,265,.528,.486,.398,.259,24.0,80.0,52.0,50.0,7.7,6.0,9.8,100.0,109.3,108.5,,265,48,101,.475,15,34,.441,15,26,.577,10,38,48,19,8,9,16,30,126,,265,.560,.550,.337,.257,20.0,76.0,48.0,39.6,6.9,13.8,12.5,100.0,108.5,109.3,,MIN,33,35,20,27,12,127,BRK,22,34,37,22,11,126,105.2,.486,9.8,24.0,.204,109.3,105.2,.550,12.5,20.0,.149,108.5,,
240,38,89,.427,5,32,.156,20,30,.667,9,31,40,22,9,7,24,31,101,,240,.494,.455,.360,.337,18.4,73.8,44.0,57.9,8.0,10.4,19.0,100.0,90.2,107.2,,240,40,85,.471,7,18,.389,33,39,.846,11,40,51,18,9,8,21,33,120,,240,.587,.512,.212,.459,26.2,81.6,56.0,45.0,8.0,14.0,17.1,100.0,107.2,90.2,,MEM,32,28,24,17,101,MIA,24,30,29,37,120,112.0,.455,19.0,18.4,.225,90.2,112.0,.512,17.1,26.2,.388,107.2,,,,
240,33,90,.367,7,26,.269,20,34,.588,10,31,41,18,4,2,10,29,93,,240,.443,.406,.289,.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,100.0,91.4,105.2,,240,37,85,.435,7,29,.241,26,36,.722,12,50,62,24,6,7,15,34,107,,240,.531,.476,.341,.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,100.0,105.2,91.4,,BOS,25,23,20,25,93,PHI,20,29,28,30,107,101.8,.406,8.7,16.7,.222,91.4,101.8,.476,12.9,27.9,.306,105.2,,,,
240,37,93,.398,11,41,.268,15,18,.833,11,36,47,26,6,3,17,32,100,,240,.495,.457,.441,.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,100.0,96.4,104.2,,240,35,76,.461,11,36,.306,27,33,.818,5,41,46,17,6,5,19,22,108,,240,.597,.533,.474,.434,12.2,78.8,49.5,48.6,5.8,9.6,17.3,100.0,104.2,96.4,,WAS,25,23,20,32,100,DAL,24,38,29,17,108,103.7,.457,14.4,21.2,.161,96.4,103.7,.533,17.3,12.2,.355,104.2,,,,
240,44,94,.468,10,30,.333,13,18,.722,5,34,39,24,16,1,14,32,111,,240,.545,.521,.319,.191,10.9,77.3,43.3,54.5,14.7,1.6,12.1,100.0,101.9,110.2,,240,42,83,.506,7,21,.333,29,36,.806,10,41,51,22,6,5,21,18,120,,240,.607,.548,.253,.434,22.7,89.1,56.7,52.4,5.5,7.8,17.5,100.0,110.2,101.9,,NYK,15,36,33,27,111,SAS,22,37,24,37,120,108.9,.521,12.1,10.9,.138,101.9,108.9,.548,17.5,22.7,.349,110.2,,,,
