0,1,2,3,4,5,6,7
0,35:06:00,NO,YES,38:09:00,44:59:00,YES,YES
37:22:00,36:00:00,YES,YES,31:33:00,38:22:00,YES,YES
30:00:00,29:25:00,YES,YES,35:06:00,27:19:00,YES,YES
0,26:35:00,NO,YES,35:42:00,35:51:00,YES,YES
35:57:00,33:15:00,YES,YES,34:13:00,28:06:00,YES,YES
38:41:00,Did Not Play,YES,YES,38:10:00,36:22:00,YES,YES
16:09,25:09:00,YES,YES,Did Not Play,24:03:00,YES,YES
37:13:00,34:15:00,YES,YES,23:15,34:59:00,YES,YES
31:45:00,30:45:00,YES,YES,33:31:00,29:11:00,YES,YES
0,35:24:00,NO,YES,31:38:00,35:18:00,YES,YES
30:07:00,27:42:00,YES,YES,37:55:00,36:24:00,YES,YES
17:25,26:33:00,YES,YES,33:24:00,32:18:00,YES,YES
23:54,33:47:00,YES,YES,37:49:00,26:03:00,YES,YES
37:15:00,30:14:00,YES,YES,0,25:16:00,NO,YES
28:10:00,33:20:00,YES,YES,36:26:00,32:52:00,YES,YES
21:26,24:34:00,YES,YES,29:48:00,28:25:00,YES,YES
35:41:00,39:42:00,YES,YES,35:10:00,36:13:00,YES,YES
27:43:00,6:15,YES,YES,0,27:56:00,NO,YES
16:35,38:34:00,YES,YES,31:13:00,25:12:00,YES,YES
33:22:00,26:41:00,YES,YES,18:28,28:20:00,YES,YES
37:41:00,29:04:00,YES,YES,0,31:25:00,NO,YES
34:33:00,31:27:00,YES,YES,30:02:00,29:10:00,YES,YES
Did Not Play,41:24:00,YES,YES,40:32:00,40:37:00,YES,YES
34:02:00,26:19:00,YES,YES,17:14,34:07:00,YES,YES
32:24:00,33:58:00,YES,YES,32:20:00,30:34:00,YES,YES
0,38:28:00,NO,YES,36:38:00,37:23:00,YES,YES
0,35:14:00,NO,YES,0,26:44:00,NO,YES
31:11:00,29:42:00,YES,YES,35:59:00,33:04:00,YES,YES
33:32:00,30:21:00,YES,YES,19:51,29:52:00,YES,YES
28:05:00,34:25:00,YES,YES,30:15:00,23:12,YES,YES
32:50:00,34:33:00,YES,YES,33:06:00,34:42:00,YES,YES
0,38:41:00,NO,YES,36:05:00,33:35:00,YES,YES
38:26:00,30:25:00,YES,YES,36:24:00,33:06:00,YES,YES
15:17,20:00,YES,YES,25:03:00,25:35:00,YES,YES
32:16:00,32:19:00,YES,YES,Did Not Play,38:27:00,YES,YES
30:08:00,23:57,YES,YES,19:04,25:24:00,YES,YES
34:20:00,27:29:00,YES,YES,19:42,32:21:00,YES,YES
38:24:00,25:41:00,YES,YES,37:42:00,34:23:00,YES,YES
0,31:36:00,NO,YES,34:48:00,Did Not Play,YES,YES
28:40:00,27:31:00,YES,YES,32:29:00,35:01:00,YES,YES
35:36:00,28:25:00,YES,YES,18:20,32:44:00,YES,YES
38:43:00,34:39:00,YES,YES,0,26:04:00,NO,YES
25:00:00,28:52:00,YES,YES,35:58:00,38:11:00,YES,YES
32:43:00,37:49:00,YES,YES,34:29:00,28:54:00,YES,YES
33:55:00,26:48:00,YES,YES,36:52:00,35:29:00,YES,YES
33:08:00,33:25:00,YES,YES,29:12:00,28:41:00,YES,YES
31:00:00,33:53:00,YES,YES,0,31:04:00,NO,YES
38:48:00,24:05:00,YES,YES,33:26:00,33:44:00,YES,YES
35:32:00,37:06:00,YES,YES,Did Not Play,29:02:00,YES,YES
28:27:00,30:58:00,YES,YES,30:23:00,36:18:00,YES,YES
26:52:00,31:58:00,YES,YES,29:44:00,26:16:00,YES,YES
11:04,35:33:00,YES,YES,30:40:00,32:44:00,YES,YES
32:30:00,32:58:00,YES,YES,32:56:00,33:31:00,YES,YES
22:46,25:16:00,YES,YES,30:34:00,28:19:00,YES,YES
31:54:00,27:10:00,YES,YES,31:12:00,35:01:00,YES,YES
19:28,36:40:00,YES,YES,33:51:00,28:09:00,YES,YES
22:39,Did Not Play,YES,YES,20:02,32:43:00,YES,YES
34:38:00,33:53:00,YES,YES,38:35:00,38:08:00,YES,YES
36:21:00,32:28:00,YES,YES,30:58:00,21:40,YES,YES
0,20:32,NO,YES,30:16:00,37:47:00,YES,YES
38:12:00,24:47:00,YES,YES,31:26:00,0,YES,NO
37:30:00,34:41:00,YES,YES,40:30:00,34:18:00,YES,YES
34:53:00,30:38:00,YES,YES,35:17:00,36:16:00,YES,YES
0,13:39,NO,YES,32:38:00,34:59:00,YES,YES
Did Not Play,35:55:00,YES,YES,21:09,23:45,YES,YES
35:11:00,35:44:00,YES,YES,0,33:04:00,NO,YES
27:08:00,26:17:00,YES,YES,0,35:34:00,NO,YES
35:06:00,35:38:00,YES,YES,34:07:00,31:05:00,YES,YES
36:39:00,36:24:00,YES,YES,34:29:00,31:02:00,YES,YES
34:56:00,31:28:00,YES,YES,37:17:00,33:02:00,YES,YES
30:16:00,20:23,YES,YES,25:05:00,21:32,YES,YES
16:16,33:38:00,YES,YES,33:46:00,35:37:00,YES,YES
0,24:40:00,NO,YES,32:14:00,32:06:00,YES,YES
42:40:00,42:32:00,YES,YES,38:08:00,37:25:00,YES,YES
38:00:00,35:11:00,YES,YES,20:15,36:49:00,YES,YES
29:18:00,26:04:00,YES,YES,0,34:26:00,NO,YES
0,13:10,NO,YES,29:17:00,0,YES,NO
33:11:00,18:02,YES,YES,0,Did Not Play,NO,YES
31:27:00,32:16:00,YES,YES,33:47:00,27:05:00,YES,YES
Did Not Play,31:28:00,YES,YES,24:10:00,28:43:00,YES,YES
32:23:00,38:02:00,YES,YES,36:26:00,33:42:00,YES,YES
Did Not Play,23:38,YES,YES,27:53:00,19:47,YES,YES
19:39,30:40:00,YES,YES,0,Did Not Dress,NO,YES
Did Not Play,36:26:00,YES,YES,39:04:00,Did Not Dress,YES,YES
31:52:00,28:20:00,YES,YES,0,31:08:00,NO,YES
26:26:00,26:14:00,YES,YES,27:27:00,25:55:00,YES,YES
29:40:00,34:47:00,YES,YES,24:34:00,26:56:00,YES,YES
36:00:00,37:18:00,YES,YES,33:59:00,30:16:00,YES,YES
33:33:00,31:08:00,YES,YES,35:06:00,30:56:00,YES,YES
34:03:00,33:58:00,YES,YES,33:45:00,29:32:00,YES,YES
0,0,NO,NO,32:22:00,26:30:00,YES,YES
0,37:02:00,NO,YES,34:33:00,30:03:00,YES,YES
37:15:00,Did Not Play,YES,YES,23:49,28:23:00,YES,YES
26:42:00,27:03:00,YES,YES,Did Not Play,17:21,YES,YES
Did Not Play,35:37:00,YES,YES,Did Not Play,32:05:00,YES,YES
37:18:00,28:16:00,YES,YES,0,Did Not Play,NO,YES
0,38:55:00,NO,YES,17:03,41:58:00,YES,YES
34:25:00,33:38:00,YES,YES,32:11:00,37:04:00,YES,YES
36:23:00,33:51:00,YES,YES,29:44:00,Did Not Play,YES,YES
31:25:00,35:11:00,YES,YES,33:31:00,31:17:00,YES,YES
33:39:00,32:55:00,YES,YES,32:05:00,25:46:00,YES,YES
29:18:00,24:55:00,YES,YES,22:46,32:33:00,YES,YES
7:55,32:20:00,YES,YES,0,Did Not Play,NO,YES
41:27:00,34:13:00,YES,YES,27:59:00,35:02:00,YES,YES
30:54:00,13:15,YES,YES,29:12:00,Did Not Play,YES,YES
0,0,NO,NO,35:18:00,30:17:00,YES,YES
30:48:00,33:45:00,YES,YES,37:02:00,39:54:00,YES,YES
33:33:00,3:10,YES,YES,27:10:00,25:44:00,YES,YES
33:22:00,27:41:00,YES,YES,37:26:00,33:45:00,YES,YES
35:50:00,10:05,YES,YES,36:08:00,35:26:00,YES,YES
35:43:00,33:03:00,YES,YES,0,39:28:00,NO,YES
28:53:00,29:11:00,YES,YES,19:02,30:19:00,YES,YES
30:51:00,27:23:00,YES,YES,34:12:00,34:14:00,YES,YES
33:59:00,34:57:00,YES,YES,Did Not Play,35:33:00,YES,YES
38:08:00,27:29:00,YES,YES,33:23:00,28:02:00,YES,YES
0,Did Not Dress,NO,YES,38:42:00,32:29:00,YES,YES
21:56,25:51:00,YES,YES,31:51:00,27:12:00,YES,YES
28:53:00,35:58:00,YES,YES,38:59:00,33:35:00,YES,YES
29:18:00,29:54:00,YES,YES,39:36:00,Did Not Play,YES,YES
0,0,NO,NO,35:29:00,7:43,YES,YES
38:59:00,16:12,YES,YES,0,31:20:00,NO,YES
0,36:11:00,NO,YES,35:13:00,35:35:00,YES,YES
28:30:00,0,YES,NO,37:47:00,37:25:00,YES,YES
36:26:00,37:31:00,YES,YES,36:31:00,38:19:00,YES,YES
38:31:00,35:46:00,YES,YES,40:21:00,34:20:00,YES,YES
38:06:00,38:03:00,YES,YES,34:45:00,36:03:00,YES,YES
33:55:00,32:28:00,YES,YES,27:17:00,26:22:00,YES,YES
0,35:35:00,NO,YES,27:52:00,31:09:00,YES,YES
35:48:00,31:47:00,YES,YES,32:06:00,29:00:00,YES,YES
28:41:00,0,YES,NO,23:18,Did Not Play,YES,YES
0,0,NO,NO,30:34:00,25:08:00,YES,YES
35:55:00,35:25:00,YES,YES,41:12:00,9:44,YES,YES
37:32:00,29:20:00,YES,YES,34:45:00,30:21:00,YES,YES
26:58:00,33:39:00,YES,YES,25:48:00,0,YES,NO
36:25:00,22:31,YES,YES,31:46:00,0,YES,NO
31:35:00,30:46:00,YES,YES,0,31:29:00,NO,YES
25:07:00,11:55,YES,YES,Did Not Play,32:24:00,YES,YES
42:59:00,Did Not Play,YES,YES,44:16:00,35:25:00,YES,YES
42:13:00,0,YES,NO,37:40:00,35:20:00,YES,YES
30:19:00,17:11,YES,YES,23:58,19:54,YES,YES
33:47:00,19:50,YES,YES,34:54:00,33:07:00,YES,YES
27:19:00,24:42:00,YES,YES,34:31:00,32:50:00,YES,YES
38:16:00,35:22:00,YES,YES,0,Did Not Play,NO,YES
34:30:00,33:01:00,YES,YES,0,22:20,NO,YES
43:35:00,0,YES,NO,34:58:00,31:19:00,YES,YES
24:58:00,19:04,YES,YES,29:13:00,25:27:00,YES,YES
31:29:00,32:33:00,YES,YES,35:05:00,34:59:00,YES,YES
Did Not Play,Did Not Play,YES,YES,38:57:00,27:40:00,YES,YES
0,36:43:00,NO,YES,30:39:00,35:19:00,YES,YES
41:20:00,Did Not Play,YES,YES,30:44:00,33:19:00,YES,YES
37:33:00,37:04:00,YES,YES,Did Not Play,39:12:00,YES,YES
36:41:00,17:34,YES,YES,37:33:00,37:44:00,YES,YES
37:34:00,20:37,YES,YES,31:08:00,0,YES,NO
23:00,30:03:00,YES,YES,33:34:00,34:16:00,YES,YES
0,35:17:00,NO,YES,33:42:00,31:00:00,YES,YES
39:00:00,28:59:00,YES,YES,34:32:00,34:59:00,YES,YES
40:56:00,37:44:00,YES,YES,44:27:00,29:36:00,YES,YES
33:26:00,31:58:00,YES,YES,30:06:00,7:53,YES,YES
0,28:14:00,NO,YES,0,26:29:00,NO,YES
41:25:00,0,YES,NO,36:57:00,29:40:00,YES,YES
38:49:00,39:51:00,YES,YES,38:44:00,22:49,YES,YES
32:47:00,20:52,YES,YES,35:50:00,0,YES,NO
Did Not Dress,36:25:00,YES,YES,0,Did Not Dress,NO,YES
35:32:00,33:04:00,YES,YES,22:21,36:15:00,YES,YES
35:47:00,0,YES,NO,Did Not Play,32:04:00,YES,YES
34:43:00,29:51:00,YES,YES,28:02:00,28:40:00,YES,YES
29:38:00,26:02:00,YES,YES,28:00:00,38:27:00,YES,YES
36:32:00,31:02:00,YES,YES,36:46:00,32:18:00,YES,YES
35:58:00,9:07,YES,YES,40:27:00,35:12:00,YES,YES
36:29:00,36:01:00,YES,YES,29:51:00,30:24:00,YES,YES
36:58:00,22:35,YES,YES,33:25:00,11:08,YES,YES
37:38:00,45:33:00,YES,YES,38:28:00,31:09:00,YES,YES
37:54:00,34:52:00,YES,YES,0,34:02:00,NO,YES
29:26:00,0,YES,NO,35:29:00,38:40:00,YES,YES
Did Not Dress,21:43,YES,YES,32:20:00,36:51:00,YES,YES
28:24:00,0,YES,NO,29:54:00,0,YES,NO
25:24:00,36:20:00,YES,YES,26:42:00,25:36:00,YES,YES
0,Did Not Play,NO,YES,37:41:00,34:14:00,YES,YES
38:41:00,Did Not Play,YES,YES,32:18:00,Did Not Play,YES,YES
41:13:00,0,YES,NO,35:37:00,35:43:00,YES,YES
40:19:00,35:08:00,YES,YES,36:55:00,34:45:00,YES,YES
28:50:00,0,YES,NO,0,23:28,NO,YES
22:31,25:50:00,YES,YES,25:16:00,27:56:00,YES,YES
30:15:00,32:00:00,YES,YES,26:36:00,0,YES,NO
25:34:00,31:13:00,YES,YES,22:18,21:04,YES,YES
39:36:00,27:36:00,YES,YES,32:52:00,31:05:00,YES,YES
0,32:30:00,NO,YES,0,Did Not Play,NO,YES
39:03:00,0,YES,NO,28:25:00,33:07:00,YES,YES
0,24:58:00,NO,YES,16:42,31:52:00,YES,YES
29:00:00,0,YES,NO,0,24:10:00,NO,YES
15:39,26:07:00,YES,YES,34:42:00,0,YES,NO
33:44:00,0,YES,NO,27:56:00,27:32:00,YES,YES
34:31:00,26:55:00,YES,YES,33:06:00,34:16:00,YES,YES
33:35:00,34:48:00,YES,YES,35:15:00,31:33:00,YES,YES
27:01:00,29:54:00,YES,YES,Did Not Play,34:05:00,YES,YES
33:23:00,14:37,YES,YES,36:12:00,33:50:00,YES,YES
33:20:00,27:02:00,YES,YES,0,27:38:00,NO,YES
0,34:38:00,NO,YES,26:29:00,34:35:00,YES,YES
Did Not Dress,29:16:00,YES,YES,0,34:33:00,NO,YES
Did Not Play,38:45:00,YES,YES,34:21:00,0,YES,NO
30:11:00,24:09:00,YES,YES,37:06:00,37:08:00,YES,YES
13:14,35:30:00,YES,YES,33:39:00,41:46:00,YES,YES
