"iteration","logistic_acc","logistic_profit","logistic_utility_profit","logistic_sens","logistic_spec","logistic_auc","gbm_acc","gbm_profit","gbm_utility_profit","gbm_sens","gbm_spec","gbm_auc","rf_acc","rf_profit","rf_utility_profit","rf_sens","rf_spec","rf_auc","ann_acc","ann_profit","ann_utility_profit","ann_sens","ann_spec","ann_auc","ann_acc_mlnet","ann_profit_mlnet","ann_utility_profit_mlnet","ann_sens_mlnet","ann_spec_mlnet","ann_auc_mlnet","logistic_acc_nb","logistic_profit_nb","logistic_utility_profit_nb","logistic_sens_nb","logistic_spec_nb","logistic_auc_nb","gbm_acc_nb","gbm_profit_nb","gbm_utility_profit_nb","gbm_sens_nb","gbm_spec_nb","gbm_auc_nb","rf_acc_nb","rf_profit_nb","rf_utility_profit_nb","rf_sens_nb","rf_spec_nb","rf_auc_nb","logistic_acc_b","logistic_profit_b","logistic_utility_profit_b","logistic_sens_b","logistic_spec_b","logistic_auc_b","gbm_acc_b","gbm_profit_b","gbm_utility_profit_b","gbm_sens_b","gbm_spec_b","gbm_auc_b","rf_acc_b","rf_profit_b","rf_utility_profit_b","rf_sens_b","rf_spec_b","rf_auc_b","ann_acc_b","ann_profit_b","ann_utility_profit_b","ann_sens_b","ann_spec_b","ann_auc_b","ann_acc_nb","ann_profit_nb","ann_utility_profit_nb","ann_sens_nb","ann_spec_nb","ann_auc_nb","ann_acc_nb_mlnet","ann_profit_nb_mlnet","ann_utility_profit_nb_mlnet","ann_sens_nb_mlnet","ann_spec_nb_mlnet","ann_auc_nb_mlnet"
0,0.574257425742574,516.745789317754,516.745789317754,0.648148148148148,0.48936170212766,0.540977147360126,0.643564356435644,-164.513093975758,1961.08126064769,0.722222222222222,0.553191489361702,0.704491725768322,0.653465346534653,-578.309980143488,2589.45761484892,0.796296296296296,0.48936170212766,0.706067769897557,0.623762376237624,691.015550415452,246.257348091461,0.703703703703704,0.531914893617021,0.661544523246651,0.584158415841584,1003.48359073203,1708.38900727257,0.481481481481481,0.702127659574468,0.634357762017337,0.534653465346535,-656.143099571135,-656.143099571135,0.592592592592593,0.468085106382979,0.549842395587076,0.633663366336634,101.347950270414,841.968865303093,0.740740740740741,0.51063829787234,0.670212765957447,0.663366336633663,331.910880756618,2007.61087061087,0.851851851851852,0.446808510638298,0.69956658786446,0.613861386138614,-1653.94761701642,-49.3977030594681,0.722222222222222,0.48936170212766,0.695035460992908,0.594059405940594,-425.930640576167,-90.4095603492038,0.648148148148148,0.531914893617021,0.576044129235619,0.564356435643564,-1858.02610388902,-924.618787940786,0.648148148148148,0.468085106382979,0.644011032308905,0.613861386138614,-1307.95788973378,-3.00066966630497,0.666666666666667,0.553191489361702,0.67612293144208,0.594059405940594,-1053.05873265794,36.6016683445651,0.703703703703704,0.468085106382979,0.655240346729708,0.594059405940594,-1053.05873265794,36.6016683445651,0.703703703703704,0.468085106382979,0.655240346729708
1,0.554455445544555,-422.504755344555,-322.504755344555,0.641509433962264,0.458333333333333,0.551100628930818,0.643564356435644,-54.5130939757578,1432.1923717588,0.716981132075472,0.5625,0.710691823899371,0.613861386138614,-1301.67259791787,2668.73243783083,0.754716981132076,0.458333333333333,0.713050314465409,0.603960396039604,392.634064751358,552.293155660449,0.660377358490566,0.541666666666667,0.616745283018868,0.584158415841584,919.105728398282,1336.29240283496,0.509433962264151,0.666666666666667,0.636792452830189,0.554455445544555,-341.764014603814,-341.764014603814,0.60377358490566,0.5,0.556800314465409,0.584158415841584,-898.269229935002,-701.251686075353,0.69811320754717,0.458333333333333,0.651336477987421,0.623762376237624,-262.402438774094,2176.63203463203,0.849056603773585,0.375,0.685731132075472,0.613861386138614,-1605.12408760465,-90.574173647703,0.716981132075472,0.5,0.691823899371069,0.554455445544555,-950.346224991751,102.238347298704,0.622641509433962,0.479166666666667,0.574292452830189,0.564356435643564,-1626.34260220552,-1269.61878794079,0.641509433962264,0.479166666666667,0.628930817610063,0.594059405940594,-1883.0007718752,-1182.37085510871,0.754716981132076,0.416666666666667,0.668238993710692,0.564356435643564,-1161.29949774081,655.810611291361,0.735849056603774,0.375,0.637578616352201,0.564356435643564,-1161.29949774081,655.810611291361,0.735849056603774,0.375,0.637578616352201
2,0.554455445544555,-421.222704062503,-421.222704062503,0.641509433962264,0.458333333333333,0.558372641509434,0.663366336633663,232.02105814663,1719.44727371958,0.735849056603774,0.583333333333333,0.708333333333333,0.623762376237624,-1182.33325099029,2646.17351527191,0.773584905660377,0.458333333333333,0.706761006289308,0.613861386138614,-285.529585324056,260.23761044314,0.679245283018868,0.541666666666667,0.665880503144654,0.584158415841584,978.17400400958,78.5603816498271,0.490566037735849,0.6875,0.586477987421384,0.554455445544555,-340.481963321762,-340.481963321762,0.60377358490566,0.5,0.55562106918239,0.603960396039604,-425.435952101723,-492.10261876839,0.716981132075472,0.479166666666667,0.670204402515723,0.623762376237624,-542.395303255447,1950.45987345987,0.849056603773585,0.375,0.714426100628931,0.613861386138614,-1603.8420363226,26.092493018964,0.716981132075472,0.5,0.692216981132076,0.613861386138614,-68.3234046748127,-245.216707450468,0.69811320754717,0.520833333333333,0.587264150943396,0.574257425742574,-1450.98647684939,-1403.84955717156,0.641509433962264,0.5,0.637775157232704,0.603960396039604,-1708.86010346208,-950.827603601935,0.735849056603774,0.458333333333333,0.672169811320755,0.564356435643564,-673.34352347921,-670.957669137473,0.660377358490566,0.458333333333333,0.64622641509434,0.564356435643564,-673.34352347921,-670.957669137473,0.660377358490566,0.458333333333333,0.64622641509434
3,0.564356435643564,-14.2535163874319,-14.2535163874319,0.641509433962264,0.479166666666667,0.553066037735849,0.663366336633663,239.626100163437,1151.55745112388,0.754716981132076,0.5625,0.715408805031447,0.613861386138614,-1402.86673711201,2594.18436957567,0.792452830188679,0.416666666666667,0.707940251572327,0.594059405940594,-406.776351300933,-823.259867784449,0.69811320754717,0.479166666666667,0.624213836477987,0.603960396039604,1388.22488707904,2020.94443550447,0.471698113207547,0.75,0.628930817610063,0.584158415841584,318.644087098407,318.644087098407,0.660377358490566,0.5,0.565841194968553,0.623762376237624,-203.387738877039,-439.842847236172,0.754716981132076,0.479166666666667,0.673349056603774,0.603960396039604,-1075.71276357291,1672.7326007326,0.811320754716981,0.375,0.683372641509434,0.613861386138614,-1651.46108394165,-21.526554600083,0.716981132075472,0.5,0.695754716981132,0.524752475247525,-1633.18309400509,-474.148006285791,0.622641509433962,0.416666666666667,0.563286163522013,0.584158415841584,-1302.20192806485,-1617.23783555983,0.660377358490566,0.5,0.633058176100629,0.584158415841584,-2105.09534396977,-910.517203547961,0.754716981132076,0.395833333333333,0.672169811320755,0.613861386138614,182.118843364301,-253.245302293962,0.716981132075472,0.5,0.643474842767296,0.613861386138614,182.118843364301,-253.245302293962,0.716981132075472,0.5,0.643474842767296
4,0.603960396039604,571.986903599118,571.986903599118,0.666666666666667,0.531914893617021,0.59338061465721,0.653465346534653,-17.7586375154179,1406.36225592868,0.740740740740741,0.553191489361702,0.716312056737589,0.653465346534653,-648.318701681619,2635.86023756733,0.814814814814815,0.468085106382979,0.704491725768322,0.623762376237624,-349.023974221257,-374.738259935543,0.722222222222222,0.51063829787234,0.617415287628054,0.603960396039604,1429.10608023578,1630.48974107024,0.5,0.723404255319149,0.60441292356186,0.574257425742574,170.115558569878,170.115558569878,0.648148148148148,0.48936170212766,0.570921985815603,0.653465346534653,475.890794813259,310.400598734827,0.740740740740741,0.553191489361702,0.682033096926714,0.613861386138614,-704.218260666639,1395.20346320346,0.814814814814815,0.382978723404255,0.700945626477541,0.613861386138614,-1653.8458216205,-150.938319305965,0.722222222222222,0.48936170212766,0.693853427895981,0.534653465346535,-775.50675074051,-757.663613485609,0.611111111111111,0.446808510638298,0.553585500394011,0.554455445544555,-1832.72236446763,-1517.23783555983,0.666666666666667,0.425531914893617,0.616233254531127,0.603960396039604,-1466.67962374963,-973.831701379689,0.666666666666667,0.531914893617021,0.669818754925138,0.574257425742574,-1356.70021909632,-346.508072062066,0.648148148148148,0.48936170212766,0.646572104018913,0.574257425742574,-1356.70021909632,-346.508072062066,0.648148148148148,0.48936170212766,0.646572104018913
5,0.603960396039604,536.021991318417,536.021991318417,0.666666666666667,0.531914893617021,0.580772261623326,0.702970297029703,1065.5621644896,1602.95289920354,0.777777777777778,0.617021276595745,0.71946414499606,0.633663366336634,-1075.3928576598,2379.18436957567,0.796296296296296,0.446808510638298,0.703900709219858,0.643564356435644,365.430183242742,943.21527096204,0.722222222222222,0.553191489361702,0.662332545311269,0.623762376237624,1434.52037365503,2004.68179983781,0.5,0.765957446808511,0.634357762017337,0.584158415841584,263.562410995059,263.562410995059,0.666666666666667,0.48936170212766,0.569542947202522,0.643564356435644,77.1639777706542,827.163977770654,0.740740740740741,0.531914893617021,0.689125295508274,0.633663366336634,-190.448873430433,1972.12654012654,0.888888888888889,0.340425531914894,0.714539007092199,0.613861386138614,-1689.8107339012,-143.438319305965,0.722222222222222,0.48936170212766,0.696217494089834,0.534653465346535,-1333.41971496926,-338.895905445454,0.62962962962963,0.425531914893617,0.559889676910953,0.564356435643564,-1698.42923590206,-934.869414507201,0.666666666666667,0.446808510638298,0.625886524822695,0.594059405940594,-1722.40644079224,-1188.68516164491,0.685185185185185,0.48936170212766,0.674940898345154,0.554455445544555,-964.837960311106,-298.024845889296,0.62962962962963,0.468085106382979,0.591410559495666,0.554455445544555,-964.837960311106,-298.024845889296,0.62962962962963,0.468085106382979,0.591410559495666
6,0.594059405940594,402.688657985084,402.688657985084,0.648148148148148,0.531914893617021,0.567375886524823,0.673267326732673,236.146580074011,1291.90528015592,0.759259259259259,0.574468085106383,0.723404255319149,0.653465346534653,-671.713203980145,2683.98989416381,0.814814814814815,0.468085106382979,0.716115051221434,0.554455445544555,-2061.08672205059,-197.134152880635,0.666666666666667,0.425531914893617,0.63317572892041,0.584158415841584,935.332865146771,948.581372487384,0.481481481481481,0.702127659574468,0.655240346729708,0.554455445544555,-173.25676111823,-173.25676111823,0.62962962962963,0.468085106382979,0.56284475965327,0.633663366336634,-172.664305057629,-295.391577784902,0.777777777777778,0.468085106382979,0.702127659574468,0.653465346534653,-44.4630586389898,2022.36463536464,0.851851851851852,0.425531914893617,0.711189913317573,0.613861386138614,-1700.41679450726,56.561680694035,0.722222222222222,0.48936170212766,0.69779353821907,0.564356435643564,-792.061563316994,482.922276372729,0.666666666666667,0.446808510638298,0.571710007880221,0.564356435643564,-1694.95025301131,-1247.14214177993,0.648148148148148,0.468085106382979,0.63140267927502,0.594059405940594,-1733.0125013983,-1288.68516164491,0.685185185185185,0.48936170212766,0.67612293144208,0.623762376237624,-75.2690671056679,757.153186604527,0.666666666666667,0.574468085106383,0.698187549251379,0.623762376237624,-75.2690671056679,757.153186604527,0.666666666666667,0.574468085106383,0.698187549251379
7,0.584158415841584,286.021991318417,286.021991318417,0.641509433962264,0.520833333333333,0.561124213836478,0.633663366336634,-475.043896116465,1230.39734364798,0.754716981132076,0.5,0.718553459119497,0.643564356435644,-869.175388854094,2349.44077983208,0.792452830188679,0.479166666666667,0.712460691823899,0.584158415841584,-1403.98478879642,32.1916817918151,0.679245283018868,0.479166666666667,0.650550314465409,0.584158415841584,1036.57676617328,1481.31538470989,0.452830188679245,0.729166666666667,0.601415094339623,0.554455445544555,-102.966906045767,-102.966906045767,0.622641509433962,0.479166666666667,0.565055031446541,0.613861386138614,-316.235733629058,91.0369936436691,0.754716981132076,0.458333333333333,0.697720125786163,0.633663366336634,-340.839870233194,1580.20346320346,0.867924528301887,0.375,0.700864779874214,0.613861386138614,-1630.1269394348,39.895014027368,0.716981132075472,0.5,0.693396226415094,0.554455445544555,-952.069253836193,-469.645011411952,0.641509433962264,0.458333333333333,0.582940251572327,0.574257425742574,-1465.83686852708,-1029.5146243698,0.641509433962264,0.5,0.632272012578616,0.613861386138614,-1068.0937338913,18.4850015252491,0.660377358490566,0.5625,0.673349056603774,0.584158415841584,-356.479355571495,-647.306101289545,0.660377358490566,0.5,0.644654088050314,0.584158415841584,-356.479355571495,-647.306101289545,0.660377358490566,0.5,0.644654088050314
8,0.584158415841584,256.610226612534,256.610226612534,0.641509433962264,0.520833333333333,0.544811320754717,0.643564356435644,-279.80580087837,1697.06401031465,0.754716981132076,0.520833333333333,0.716194968553459,0.643564356435644,-826.423348907682,2537.66263044524,0.792452830188679,0.479166666666667,0.720911949685535,0.663366336633663,435.242511375825,308.926721902141,0.754716981132076,0.5625,0.731525157232704,0.534653465346535,4.84711510539404,541.407449507833,0.433962264150943,0.645833333333333,0.589622641509434,0.564356435643564,-230.823115196094,-230.823115196094,0.622641509433962,0.5,0.547169811320755,0.653465346534653,433.412410213458,209.352259837519,0.773584905660377,0.520833333333333,0.682783018867925,0.594059405940594,-952.637015401183,1472.12654012654,0.849056603773585,0.3125,0.696933962264151,0.613861386138614,-1630.1269394348,281.751074633429,0.716981132075472,0.5,0.694575471698113,0.584158415841584,113.143376670554,-632.632024398965,0.660377358490566,0.5,0.579795597484277,0.584158415841584,-1288.91379160401,-951.094710949889,0.660377358490566,0.5,0.635220125786163,0.603960396039604,-1471.0937338913,-840.622688170676,0.660377358490566,0.541666666666667,0.676493710691824,0.603960396039604,-10.4442160650929,76.1148082439311,0.679245283018868,0.520833333333333,0.647405660377358,0.603960396039604,-10.4442160650929,76.1148082439311,0.679245283018868,0.520833333333333,0.647405660377358
9,0.584158415841584,174.388004390312,174.388004390312,0.648148148148148,0.51063829787234,0.542947202521671,0.663366336633663,-4.88516595773487,1621.19099444163,0.777777777777778,0.531914893617021,0.72301024428684,0.633663366336634,-1001.75481482738,2522.74765813896,0.814814814814815,0.425531914893617,0.709416863672183,0.574257425742574,-73.6585324547849,773.905570109317,0.611111111111111,0.531914893617021,0.605594956658786,0.613861386138614,1916.57676617328,2154.93780803819,0.462962962962963,0.787234042553192,0.631205673758865,0.564356435643564,-313.045337418316,-313.045337418316,0.62962962962963,0.48936170212766,0.545902285263987,0.633663366336634,-194.951886756975,-147.583465704343,0.759259259259259,0.48936170212766,0.694641449960599,0.643564356435644,-140.046219439543,1813.55511155511,0.87037037037037,0.382978723404255,0.710992907801418,0.623762376237624,-1502.34916165702,-7.94589506354102,0.722222222222222,0.51063829787234,0.69779353821907,0.584158415841584,72.0120635392412,-352.010090777031,0.666666666666667,0.48936170212766,0.584712371946414,0.554455445544555,-1880.95669423514,-859.745504600682,0.648148148148148,0.446808510638298,0.631993695823483,0.603960396039604,-1800.51570100003,-1362.04118477903,0.759259259259259,0.425531914893617,0.67612293144208,0.603960396039604,101.633934079942,290.724843170851,0.666666666666667,0.531914893617021,0.683215130023641,0.603960396039604,101.633934079942,290.724843170851,0.666666666666667,0.531914893617021,0.683215130023641
