"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"1",2019,"10","22","8:00p","New Orleans Pelicans",122,"Toronto Raptors",130,20.787,"TOR",0,"201910220TOR"
"2",2019,"10","22","10:30p","Los Angeles Lakers",102,"Los Angeles Clippers",112,19.068,"LAC",0,"201910220LAC"
"3",2019,"10","23","7:00p","Chicago Bulls",125,"Charlotte Hornets",126,15.424,"CHO",0,"201910230CHO"
"4",2019,"10","23","7:00p","Detroit Pistons",119,"Indiana Pacers",110,17.923,"IND",0,"201910230IND"
"5",2019,"10","23","7:00p","Cleveland Cavaliers",85,"Orlando Magic",94,18.846,"ORL",0,"201910230ORL"
"6",2019,"10","23","7:30p","Minnesota Timberwolves",127,"Brooklyn Nets",126,17.732,"BRK",0,"201910230BRK"
"7",2019,"10","23","7:30p","Memphis Grizzlies",101,"Miami Heat",120,19.6,"MIA",0,"201910230MIA"
"8",2019,"10","23","7:30p","Boston Celtics",93,"Philadelphia 76ers",107,20.422,"PHI",0,"201910230PHI"
"9",2019,"10","23","8:30p","Washington Wizards",100,"Dallas Mavericks",108,19.816,"DAL",0,"201910230DAL"
"10",2019,"10","23","8:30p","New York Knicks",111,"San Antonio Spurs",120,18.354,"SAS",0,"201910230SAS"
"11",2019,"10","23","9:00p","Oklahoma City Thunder",95,"Utah Jazz",100,18.306,"UTA",0,"201910230UTA"
"12",2019,"10","23","10:00p","Sacramento Kings",95,"Phoenix Suns",124,18.055,"PHO",0,"201910230PHO"
"13",2019,"10","23","10:00p","Denver Nuggets",108,"Portland Trail Blazers",100,19.991,"POR",0,"201910230POR"
"14",2019,"10","24","7:00p","Atlanta Hawks",117,"Detroit Pistons",100,20.338,"DET",0,"201910240DET"
"15",2019,"10","24","8:00p","Milwaukee Bucks",117,"Houston Rockets",111,18.055,"HOU",0,"201910240HOU"
"16",2019,"10","24","10:30p","Los Angeles Clippers",141,"Golden State Warriors",122,18.064,"GSW",0,"201910240GSW"
"17",2019,"10","25","7:00p","Toronto Raptors",106,"Boston Celtics",112,18.624,"BOS",0,"201910250BOS"
"18",2019,"10","25","7:00p","Minnesota Timberwolves",121,"Charlotte Hornets",99,14.879,"CHO",0,"201910250CHO"
"19",2019,"10","25","7:30p","New York Knicks",109,"Brooklyn Nets",113,17.732,"BRK",0,"201910250BRK"
"20",2019,"10","25","8:00p","Chicago Bulls",110,"Memphis Grizzlies",102,17.794,"MEM",0,"201910250MEM"
"21",2019,"10","25","8:00p","Dallas Mavericks",123,"New Orleans Pelicans",116,17.027,"NOP",0,"201910250NOP"
"22",2019,"10","25","8:00p","Washington Wizards",97,"Oklahoma City Thunder",85,18.203,"OKC",0,"201910250OKC"
"23",2019,"10","25","9:00p","Phoenix Suns",107,"Denver Nuggets",108,19.557,"DEN",0,"201910250DEN"
"24",2019,"10","25","10:00p","Portland Trail Blazers",122,"Sacramento Kings",112,17.583,"SAC",0,"201910250SAC"
"25",2019,"10","25","10:30p","Utah Jazz",86,"Los Angeles Lakers",95,18.997,"LAL",0,"201910250LAL"
"26",2019,"10","26","5:00p","Miami Heat",131,"Milwaukee Bucks",126,17.467,"MIL",0,"201910260MIL"
"27",2019,"10","26","7:00p","Philadelphia 76ers",117,"Detroit Pistons",111,16.207,"DET",0,"201910260DET"
"28",2019,"10","26","7:30p","Orlando Magic",99,"Atlanta Hawks",103,17.078,"ATL",0,"201910260ATL"
"29",2019,"10","26","7:30p","Boston Celtics",118,"New York Knicks",95,19.812,"NYK",0,"201910260NYK"
"30",2019,"10","26","8:00p","Toronto Raptors",108,"Chicago Bulls",84,21.498,"CHI",0,"201910260CHI"
"31",2019,"10","26","8:00p","Indiana Pacers",99,"Cleveland Cavaliers",110,19.432,"CLE",0,"201910260CLE"
