"","code"
"1","201910220TOR"
"2","201910220LAC"
"3","201910230CHO"
"4","201910230IND"
"5","201910230ORL"
"6","201910230BRK"
"7","201910230MIA"
"8","201910230PHI"
"9","201910230DAL"
"10","201910230SAS"
"11","201910230UTA"
"12","201910230PHO"
"13","201910230POR"
"14","201910240DET"
"15","201910240HOU"
"16","201910240GSW"
"17","201910250BOS"
"18","201910250CHO"
"19","201910250BRK"
"20","201910250MEM"
"21","201910250NOP"
"22","201910250OKC"
"23","201910250DEN"
"24","201910250SAC"
"25","201910250LAL"
"26","201910260MIL"
"27","201910260DET"
"28","201910260ATL"
"29","201910260NYK"
"30","201910260CHI"
"31","201910260CLE"
"32","201910260HOU"
"33","201910260SAS"
"34","201910260UTA"
"35","201910260PHO"
"36","201910270OKC"
"37","201910270MEM"
"38","201910270DAL"
"39","201910270MIN"
"40","201910270LAL"
"41","201910280NYK"
"42","201910280DET"
"43","201910280TOR"
"44","201910280ATL"
"45","201910280HOU"
"46","201910280MIL"
"47","201910280NOP"
"48","201910280SAS"
"49","201910280PHO"
"50","201910280SAC"
"51","201910280LAC"
"52","201910290MIA"
"53","201910290DEN"
"54","201910290LAL"
"55","201910300CLE"
"56","201910300ORL"
"57","201910300PHI"
"58","201910300BOS"
"59","201910300BRK"
"60","201910300TOR"
"61","201910300OKC"
"62","201910300WAS"
"63","201910300SAC"
"64","201910300UTA"
"65","201910300GSW"
"66","201910310ATL"
"67","201910310NOP"
"68","201910310LAC"
"69","20191110BRK"
"70","20191110IND"
"71","20191110ORL"
"72","20191110BOS"
"73","20191110CHI"
"74","20191110DAL"
"75","20191110SAC"
"76","20191110GSW"
"77","20191120OKC"
"78","20191120DET"
"79","20191120ORL"
"80","20191120MEM"
"81","20191120MIL"
"82","20191120WAS"
"83","20191120GSW"
"84","20191120POR"
"85","20191130IND"
"86","20191130MIA"
"87","20191130NYK"
"88","20191130SAS"
"89","20191130CLE"
"90","20191130LAC"
"91","20191140WAS"
"92","20191140BRK"
"93","20191140MEM"
"94","20191140MIN"
"95","20191140PHO"
"96","20191140GSW"
"97","20191150CHO"
"98","20191150CLE"
"99","20191150ATL"
"100","20191150CHI"
"101","20191150OKC"
"102","20191150DEN"
"103","20191160DET"
"104","20191160IND"
"105","20191160ATL"
"106","20191160HOU"
"107","20191160TOR"
"108","20191160MEM"
"109","20191160DAL"
"110","20191160UTA"
"111","20191160LAC"
"112","20191170CHO"
"113","20191170SAS"
"114","20191170PHO"
"115","20191170LAC"
"116","20191180IND"
"117","20191180ORL"
"118","20191180WAS"
"119","20191180ATL"
"120","20191180MIN"
"121","20191180NOP"
"122","20191180DAL"
"123","20191180DEN"
"124","20191180UTA"
"125","20191180POR"
"126","20191180LAL"
"127","20191190SAS"
"128","20191190CHO"
"129","20191190CHI"
"130","20191190MEM"
"131","20191190OKC"
"132","201911100MIN"
"133","201911100ORL"
"134","201911100PHI"
"135","201911100OKC"
"136","201911100NYK"
"137","201911100PHO"
"138","201911100POR"
"139","201911100LAL"
"140","201911110DET"
"141","201911110BOS"
"142","201911110SAS"
"143","201911110NOP"
"144","201911110GSW"
"145","201911110LAC"
"146","201911120IND"
"147","201911120PHI"
"148","201911120MIA"
"149","201911120CHI"
"150","201911120DEN"
"151","201911120PHO"
"152","201911120UTA"
"153","201911120SAC"
"154","201911130CHO"
"155","201911130ORL"
